textbook_id,grade,subject,category,curriculum_relevance,filename,num_pages,file_size_mb,has_selectable_text,is_image_only,ocr_requirement,total_extracted_characters,avg_chars_per_page,relative_path
gseb_std10_10_black_buck_supplementry_reader_pdf_em,STD-10th,General / Elective,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-10_Black-Buck_Supplementry_Reader.pdf,112,57.21,False,True,REQUIRED,365,3.3,STD-10th/Std-10_Black-Buck_Supplementry_Reader.pdf
gseb_std10_10_computerstudies_englishmedium_pdf_em,STD-10th,Computer Studies,CORE_TEXTBOOK,HIGH,Std-10_ComputerStudies_EnglishMedium.pdf,320,47.8,False,False,HYBRID_OPTIONAL,6933,21.7,STD-10th/Std-10_ComputerStudies_EnglishMedium.pdf
gseb_std10_10_english_second_language_pdf_em,STD-10th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-10_English Second Language.pdf,154,93.94,False,True,REQUIRED,924,6.0,STD-10th/Std-10_English Second Language.pdf
gseb_std10_10_first_flight_englishmedium_pdf_em,STD-10th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-10_First Flight_EnglishMedium.pdf,154,14.42,True,False,NONE,211678,1374.5,STD-10th/Std-10_First Flight_EnglishMedium.pdf
gseb_std10_10_footprints_without_feet_em_pdf_em,STD-10th,English Literature & Language,UNKNOWN,LOW,Std-10_Footprints Without Feet_EM.pdf,86,14.6,True,False,NONE,95127,1106.1,STD-10th/Std-10_Footprints Without Feet_EM.pdf
gseb_std10_10_maths_englishmedium_pdf_em,STD-10th,Mathematics,CORE_TEXTBOOK,HIGH,Std-10_Maths_EnglishMedium.pdf,278,10.52,True,False,NONE,1088351,3914.9,STD-10th/Std-10_Maths_EnglishMedium.pdf
gseb_std10_10_sanskrut_englishmedium_pdf_em,STD-10th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-10_Sanskrut_EnglishMedium.pdf,130,75.38,False,True,REQUIRED,0,0.0,STD-10th/Std-10_Sanskrut_EnglishMedium.pdf
gseb_std10_10_science_english_medium_pdf_em,STD-10th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-10_Science_English Medium.pdf,234,47.11,True,False,NONE,313450,1339.5,STD-10th/Std-10_Science_English Medium.pdf
gseb_std10_10_shrimadbhagwatgita_englishm_pdf_em,STD-10th,English Literature & Language,REFERENCE/OTHER,LOW,Std-10_ShrimadBhagwatGita_EnglishM.pdf,16,8.81,False,True,REQUIRED,0,0.0,STD-10th/Std-10_ShrimadBhagwatGita_EnglishM.pdf
gseb_std10_10_social_science_englishmedium_pdf_em,STD-10th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-10_Social_Science_EnglishMedium.pdf,206,153.43,False,True,REQUIRED,686,3.3,STD-10th/Std-10_Social_Science_EnglishMedium.pdf
